id,辞書ページ,見出し語,かな1,かな2,かな3,アクセント型,品詞,文語などの種別,補足,意味 1.,意味 2.,意味 3.,意味 4.,意味 5.,備考
57,101,?abusimaku]ra,あぶしまくら,,,⓪,名,文,,"稲の穂がみのり,?abusi（あぜ）を枕にすること。豊作を形容していう語。",,,,,
58,101,?abusimici,あぶしみち,,,⓪,名,,,あぜ道。,,,,,
59,101,?aca,あちゃ,,,⓪,名,,,あした。あす。,,,,,
60,101,?aca]?asa,あちゃあさ,,,⓪,名,,,あしたの朝。,,,,,
61,101,?acagai,あちゃがい,,,①,名,,,時期が終わること。,,,,,
62,101,?acaga=juN,あちゃがゆん,あちゃがいん,,①,"自 =raN,=ti",,,1.時期が去る。時期はずれとなる。?acineenu～.商売の時期が終わる。,"2.飽きが来る。仕事･人などに対する熱がさめる。tageeni ?iQpee kanasja sjootaru muN, kuneedaNSee ?acagatooru gutoosa.互いにとても愛し合っていたのに,このごろは熱がさめたようだよ。",,,,
63,101,?aca]juru,あちゃゆる,,,⓪,名,,,あしたの夜。,,,,,
64,101,?aca]jusaNdi,あちゃゆさんでぃ,,,⓪,名,,,あしたの晩。,,,,,
65,101,?aca]sutumiti,あちゃすとぅみてぃ,,,⓪,名,,,あしたの朝。,,,,,
66,101,?aci,あち,,,①,名,文、古,,"1.〔文〕秋。秋という季節感がないので,口語ではほとんど使わない。",2.〔古〕収穫の時期。刈り入れ時。,,,,
67,101,?aCibee,あちべー,,あつぃべー,⓪,名,,,熱灰。まだ火気のある灰。～Nkai hwisja ?iQtaNnee.熱い灰に足を入れたように。非常にあわてるさま。,,,,,
68,101,?aCibii,あちびー,,あつぃびー,⓪,名,,,"柔らかい御飯。おかゆと御飯との中間ぐらいの,子供･病人などに食べさせる御飯。",,,,,
69,101,?aCibiiraci,あちびーらち,,あつぃびーらち,⓪,名,,,"はれものなどが熱をもって痛むこと。また,やけどが痛むこと。",,,,,
70,101,?aCiguni,あちぐに,,あつぃぐに,⓪,名,,,暑い地方。熱帯地方。hwiiguniの対。,,,,,
71,101,?acihaisigutu,あちはいしぐとぅ,,,⓪,名,,,"飽きてしまうような仕事。きりのないようないやいやながらの仕事。～nu ?asihaisigutu.いやいやながらの仕事は,よけい汗の出る仕事となる。",,,,,
72,101,?acihaisii,あちはいしー,,,⓪,名,,,いやいやながらすること。～sjuN.,,,,,
73,101,?acihatibeesaN,あちはてぃべーさん,,,⓪,形,,,飽きが早い。飽きっぽい。,,,,,
74,101,?acihati=juN,あちはてぃゆん,あちはてぃいん,,⓪,"自=raN,=ti",,,飽きる。,,,,,
75,101,?aCijaahuu]jaa,あちやーふーやー,,あつぃやーふーやー,⓪,副,,,"暑くて,ふうふういうさま。盛んに暑がるさま。～sjuN.",,,,,
76,101,?aCika=juN,あちかゆん,あちかいん,あつぃかゆん,①,"他=aN,=raN,=ti",,,1.扱う。取り扱う。使いこなす。?eeku～.櫂をあやつる。,2.こき使う。酷使する。?aCikaariiN.こき使われる。,,,,
77,101,?aCikeegurisjaN,あちけーぐりさん,,あつぃけーぐりしゃん,①,形,,,人･道具などが扱いにくい。使いにくい。,,,,,
78,101,?aCiki,あちき,,あつぃき,⓪,名,,,"ゆげ。また,蒸気。?usjoorooja～du ?usjagajuru.御精霊は湯気を召しあがる。お供えものは熱いうちに,または,ふたを取って供えろの意。",,,,,
79,101,?aCikookoo,あちこーこー,,あつぃこーこー,①,副,,,"ほやほや。煮えたばかりのさま。また,料理の熱いうちに。～sjooini kamee.ほやほやのうちに食べろ。?ubuN ～ kanuN.御飯を熱いうちに食べる。",,,,,
80,102,?aCima=juN,あちまゆん,あちまいん,あつぃまゆん,⓪,"自=raN,=ti",新,,集まる。元来はsurijuNという。,,,,,
81,102,?aCimi=juN,あちみゆん,あちみいん,あつぃみゆん,⓪,"自=raN,=ti",新,,集める。元来はsurirasjuNという。,,,,,
82,102,?acinee,あちねー,,,⓪,名,,,商売。あきない。～sjuN.,,,,,
83,102,?acineeguhwasaN,あちねーぐふぁさん,,,⓪,形,,,商売がうまく行かない。,,,,,
84,102,?acineemuN,あちねーむん,,,⓪,名,,,商品。,,,,,
85,102,?acineeNcu,あちねーんちゅ,,,⓪,名,,,商人。,,,,,
86,102,?acineesjaa,あちねーさー,,あちねーしゃー,⓪,名,,,商人。,,,,,
87,102,?acineezoozi,あちねーじょーじ,,,⓪,名,,,あきない上手。商売上手。,,,,,
88,102,?acinu?iju,あちぬいゆ,,,⓪,名,,,まぐろ。?aka?aciとsiru?aciとある。,,,,,
89,102,?aciraka,あちらか,,,⓪,名,,,明らか。公明。正しいこと。～na Qcu.公明な人。,,,,,
90,102,?aCirasikeesaa,あちらしけーさー,,あつぃらしけーさー,⓪,名,,,何度も暖め直した食物。,,,,,
91,102,?aCira=sjuN,あちらすん,,あつぃらしゅん,⓪,"他=saN,=ci",,,熱くする。食物などを暖める。,,,,,
92,102,?aCiree,あちれー,,あつぃれー,⓪,名,,,あつらえ。注文して作らせること。'jamatusoobee too?aCiree.その項参照。,,,,,
93,102,?aCiree=juN,あちれーゆん,あちれーいん,あつぃれーゆん,⓪,"他=raN,=ti",,,あつらえる。注文して作らせる。,,,,,
94,102,?aCireemuN,あちれーむん,,あつぃれーむん,⓪,名,,,あつらえ物。注文して作らせたもの。,,,,,
95,102,?aCiri=juN,あちりゆん,あちりいん,あつぃりゆん,⓪,"自 =raN,=ti",,,熱くなる。暖まる。食物などについて多くいう。,,,,,
96,102,?aCisakamarasaa,あちさかまらさー,,あつぃさかまらさー,⓪,名,,,暑さ嫌い。暑さを苦にする者。,,,,,
97,102,?aCisaN,あちさん,,あつぃさん,⓪,形,,,1.暑い。hwiisaN（寒い）の対。,2.熱い。hwizurusaN（冷たい）の対。,,,,
98,102,?aCisaN,あちさん,,あつぃさん,①,形,,,厚い。hwiQsaN（薄い）の対。,,,,,
99,102,?aCisa?umii,あちさうみー,,あつぃさうみー,⓪,名,,,暑がり。暑がる者。,,,,,
100,102,?acizaraN,あちじゃらん,,,⓪,自、否定形のみがある,,,1.飽き足りない。不満である。～muN.飽き足らぬ者。不満を感じさせる者。～munu?iikata.不満を感じさせる言い方。,"2.なごり惜しい。～'wakari.なごり惜しい別れ。?acizaranoo ?aSiga mata 'jaa.なごり惜しいけど,また会おうね。",,,,
101,102,?aCizii,あちじー,,あつぃじー,⓪,名,,,寝た時の足もと。maQkwagwaN（枕元）の対。,,,,,
102,102,?acoodaa,あちょーだー,,,⓪,名,,,商人。卑称。,,,,,
103,102,?acoodu,あちょーどぅ,,,⓪,名,,,商人。多く仲買い人をいう。,,,,,
104,102,?acooduguci,あちょーどぅぐち,,,⓪,名,,,仲買い人のことば。上手だが信用できない話しぶりをいう。｢仲人口｣に似た語。,,,,,
105,102,?a=cuN,あちゅん,,,①,"自 =kaN,=ci",,,1.明く。開く。hasirunu～.戸があく。?ananu ?acooN.穴があいている。,2.空く。'jaanu ?acooN.家があいている。,,,,
106,102,?acuu,あちゅー,,,⓪,名,,,熱いものの小児語。,,,,,
107,102,?ada,あだ,,,⓪,名,,,安田。«地»参照。,,,,,
108,102,?ada,あだ,,,①,名,,,あだ。徒労。～nataN.徒労になった。,,,,,
109,102,?ada,あだ,,,①,名,,,かたき。あだ。～?ucuN.かたきをうつ。,,,,,
110,102,?adaa=sjuN,あだーすん,,あだーしゅん,①,"他 =saN,=ci",,,声高に叱りつける。どなりつける。'warabi～.子供をどなりつける。,,,,,
111,102,?adaki,あだき,,,⓪,名,,,あの高さ。あんなに高く。あれだけの高さ。～?agatooN.あの高さに上がっている。,,,,,
112,102,?adanasi,あだなし,,,⓪,名,,,"?adani（阿旦）の気根。また,その繊維で作った縄。",,,,,
113,102,?adani,あだに,,,⓪,名,,,"阿旦。たこのき科の亜熱帯性常緑灌木。気根を生じ,葉は細長く,とがり,刺がある。葉からござ･帽子などを作り,気根の繊維は縄などにする。?adaNともいう。",,,,,
114,102,?adaN,あだん,,,⓪,名,,,?adani（阿旦）と同じ。,,,,,
115,103,?adaNbaa,あだんばー,,,⓪,名,,,?adani（阿旦）の葉。,,,,,
116,103,?adaNbaamusiru,あだんばーむしる,,,⓪,名,,,?adaNbaaで作ったむしろ。,,,,,
117,103,?adaNbaasaba,あだんばーさば,,,⓪,名,,,?adaNbaaで作ったぞうり。,,,,,
118,103,?adaNna,あだんな,,,⓪,名,,,安谷屋。«地»参照。,,,,,
119,103,?adasi,あだし,,,⓪,連体,文,,はかない。はかなき。～'jununakani nagaraiti 'ututi.[あだし世の中にながらへて居とて（忠臣身替）]はかない世の中に長らえていて。,,,,,
120,103,?adati=juN,あだてぃゆん,あだてぃいん,,⓪,"他 =raN,=ti",,,"捜す。捜し求める。尋ね求める。求めてあちこち聞いて回る。｢あだて｣と関係ある語か。namaa ?adatitiN,'jaaja tumeegurisjaN.今は捜しても,家は見つけにくい。",,,,,
121,103,?adu,あどぅ,,,⓪,名,,,かかと。,,,,,
122,103,?aduSiriSiri,あどぅしりしり,,,⓪,名,,,"足ずり。子供などが足を地にすりつけて,だだをこねることをいう。～sjuN.",,,,,
123,103,?aduzisi,あどぅじし,,,⓪,名,,,1.かかとの裏。,"2.かかとの裏にできる,うおのめのようなはれもの。はれて堅くなり,痛む。焼き針を立てたり,焼き瓦を当てたりして治療した。",,,,
124,103,?aee,あえー,,,⓪,名,,,あり合わせ。 ?aieeともいう。～nu muNsaani siinasjuN.あり合わせのものでうまくやる。,,,,,
125,103,?agacaa,あがちゃー,,,⓪,名,,,労働者。筋肉労働者。,,,,,
126,103,?agacihai,あがちはい,,,⓪,副,,,忙しそうに働くさま。精出すさま。-hai＜hajuN（走る）。～sjuN.,,,,,
127,103,?agacihata]raci,あがちはたらち,,,⓪,名,,,一生懸命働くこと。精出すこと。,,,,,
128,103,?aga=cuN,あがちゅん,,,⓪,"自=kaN,=ci",,,"1.働く。肉体労働をする。また,よく働く。精出す。","2.仕事などが,はかどる。はかが行く。sigutunu muru ?agakaN.仕事が全然はかどらない。cuhwirujaka ?wiini ?agacaN.（機織りが）一尋以上はかどった。",3.家畜が成長する。,,,
129,103,?agai,あがい,,,①,名,,,地面の高いところ。かみ。sagaiの対。,,,,,
130,103,?agaihana,あがいはな,,,①,名,,,日の上りはじめ。,,,,,
131,103,?agaitiida,あがいてぃーだ,,,①,名,,,"上る日。朝日。～du'uganuru,sagaitiidaa'ugamaN.上る日は拝むが,落ちる日は拝まない。権勢のよい者につく意。",,,,,
132,103,?aga=juN,あがゆん,あがいん,,①,"自=raN,=ti",,,"1.上がる。昇る。空間を上がる。また,物価などが上がる。tiidanu～.日が昇る。maainu～.まりが上がる。niinu～.値が上がる。nubujuNの項参照。",2.上達する。tiinu～.腕が上がる。ziinu～.字が上達する。?uta ?agarasjuN.歌を上達させる。,"3.できあがる。また,終わる。macinu～.市が終わる。",4.かえって悪い。よくあるべきものがいっそう悪い。Qkwajaka～.子供より悪い。nusudujaka～.どろぼう以上だ。,,
133,103,?agami=juN,あがみゆん,あがみいん,,⓪,"他=raN,=ti",,,あがめる。敬う。,,,,,
134,103,?aganee,あがねー,,,⓪,名,,,倹約。節約。経済。～nu 'jutasjaN.節約がうまい。,,,,,
135,103,?aganee=juN,あがねーゆん,あがねーいん,,⓪,"他=taN,=ti",,,"節約する。倹約して大事に使う。mookirazijaka ?aganeeri.もうけるよりも倹約せよ。（ことわざ。mookiraziは形は否定だが,意味は肯定。mookijuSijakaともいえる。）",,,,,
136,103,?agari,あがり,,,①,名,,,東。?iri（西）の対。,,,,,
137,103,?agarii,あがりー,,,⓪,名,,,東江。«地»参照。,,,,,
138,103,?agarikata,あがりかた,,,⓪,名,,,東の方。東の地方。,,,,,
139,103,?agarime]e,あがりめえ,,,⓪,名,,,東江前。«地»参照。,,,,,
140,103,?agarinu?umi,あがりぬうみ,,,⓪,名,,,太平洋。東の海の意。,,,,,
141,103,?agariNkee,あがりんけー,,,⓪,名,,,東向き。,,,,,
142,103,?agari?uma]ai,あがりうまあい,,,⓪,名,,,"東方めぐり。行事の名。穀物がはじめて作られたといわれるところ（知念村の?ukiNZuhaiNZu,与那原村の?weegaaなど数箇所）を女が巡拝する。",,,,,
143,103,?agari?wi]i,あがりっうぃい,,,⓪,名,,,東江上。«地»参照。,,,,,
144,103,?agata,あがた,,,⓪,名,,,"あっちの方。あちら側。?uNnadaki ～ satuga ?Nmarizima, muiN?usinukiti kugata nasana.[恩納岳あがた 里が生れ島 森も押しのけて こがたなさな]恩納岳のあちら側は恋しい男の生まれ故郷,その山も押しのけてこちら側にしたい。",,,,,
145,104,?agatoo,あがとー,,,⓪,名,,,あの遠さ。あんなに遠く。～kara cii.あんなに遠くから来たか。namadiikara～nu ?iQtaamadi keejuNnaa.こんなに遠くあんな遠くの君の家まで帰るのか。,,,,,
146,104,?agi,あぎ,,,①,名,,,陸。おか。～nu hurimuN.女が女郎にうつつをぬかす男などを嘲笑していう語。おかの気のふれたもの。,,,,,
147,104,?agi,あぎ,,,①,名,,,"上げ。歌･三味線などの高い音の部分。また,三味線の二上がり（nii?agi）。",,,,,
148,104,?agibusi,あぎぶし,,,①,名,,,saNsiN（三味線）の二上がりの調子の歌。,,,,,
149,104,?agida,あぎだ,,,⓪,名,,,安慶田。《地》参照。,,,,,
150,104,?agidoohu,あぎどーふ,,,①,名,,,揚げ豆腐。,,,,,
151,104,?agihwiigurumaa,あぎふぃーぐるまー,,,①,名,新,,おか蒸気。汽車。明治の初め汽車ができたという話を聞いてできた語。hwiigurumaaは蒸気船。?agiは陸。沖繩に軽便鉄道ができてからはkisjaというようになった。,,,,,
152,104,-agiinaa,-あぎーなー,,,,接尾,,,"…しながら。…しつつ。同時に動作を進行させる意を表わす。＜-agijuN。-gaciiともいう。?aQcagiinaa（歩きながら）,'junagiinaa（読みながら）,sjagiinaa（しながら）,?umujagiinaa（思いながら）など。?aQcagiinaa'uuzi kanuN.歩きながら砂糖きびを食う。?aQcagiinaa（nu kutu）'jataN.歩きながら（のこと）だった。",,,,,
153,104,?agi=juN,あぎゆん,あぎいん,,①,"他=raN,=ti",,,1.上げる。taku～.たこを揚げる。tii～.手を上げる。naa～.名を上げる。nii～.値を上げる。,"2.楽器や声の調子を高くする。kwii～.声の調子を高くする。声を出す意では,tucinukwii～,（ときの声をあげる）のほかはあまり用いないようである。",3.油で揚げる。?agimuN～.揚げ物を揚げる。,"4.献上する。進上する。さし上げる。?usjagijuNよりも格式ばった,ていねいな語。nuu ?agiiga.何を進上しようか。",5.もどす。吐く。あげる。saki numinee caa ?agijuru kusinu ?aN.酒を飲むといつも吐く癖がある。,
154,104,-agijuN,-あぎゆん,,,,接尾･不規則,,,…しつつある。…している。進行の意を表わす。-agiiNということが多い。ふつう動詞の｢終止形｣からuNを除いた形に付く。'junuN（読む）→'junagiiN（読みつつある）など。,,,,,
155,104,?agimaa=sjuN,あぎまーすん,,あぎまーしゅん,①,"他=saN,=ci",,,"せきたてる。dii ?ika?ika Qsi ?agimaacaSiga,'juujuutu sjootaN.さあ行こう行こうとせきたてたが,のんびりしていた。",,,,,
156,104,?agimuN,あぎむん,,,①,名,,,揚げ物。油揚げにしたもの。てんぷらなど。,,,,,
157,104,?agina,あぎな,,,⓪,名,,,安慶名。«地»参照。,,,,,
158,104,?agisagi,あぎさぎ,,,①,名,,,上げ下げ。上げたり下げたりすること。,,,,,
159,104,?agizi,あぎじ,,,①,名,,,"習字の清書。習字で,けいこを終えて清書すること。",,,,,
160,104,?agu=juN,あぐゆん,あぐいん,,⓪,"自=raN,=ti",,,よじ登る。繩などをたぐって登る。まれな語。?anukiiNkai Cina kaCimiti ?agura.あの木に繩をたぐって登ろう。,,,,,
161,104,?agunaa,あぐなー,,,⓪,名,,,粟国島（?aguni）の者。卑称。粟国島は下男下女の出身地として知られていた。,,,,,
162,104,?aguni,あぐに,,,⓪,名,,,粟国島。那覇の西北方にある島の名。,,,,,
163,104,-?agu=nuN,-あぐぬん,,,,"接尾=maN,=di",,,"あぐむ。できずにもて余す。?aQci?agunuN（歩きあぐむ）,sii?agunuN（しあぐむ）など。kaCiriNnu simaja kajuibusja ?aSiga,'wanamazonu ?usjunu kijai?agudi.[勝連の島や通ひぼしやあすが和仁屋真門の潮の蹴やいあぐで]勝連の村に通いたくはあっても,その途中の和仁屋真門の潮を渡りあぐんでいる。",,,,,
164,105,?ahaai,あはーい,,,⓪、①,感,,,やあい。人を嘲り笑う語。,,,,,
165,105,?ahahaa,あははー,,,⓪,感,,,大いに笑うさま。あっはっは。,,,,,
166,105,?ahjaa,あひゃー,,,⓪,名,,,1.家畜などの親。母体となるもの。人については言わない。,2.親豚。?ahjaa?waaの略。,"3.酢･酒･塩辛･漬け物などのもととなるもの。酵母など。生じふやすもと。Siinu～.酢を作る際,もととなる酢や水など。sakinu～.酒を作る際,小量入れる酒など。",,,
167,105,?ahjaa?waa,あひゃーっわー,,,⓪,名,,,親豚。,,,,,
168,105,?ahjaNgaree,あひゃんがれー,,,⓪,感,文,,やけくそになった時に発する声。どうともなれ。口語は?aQpaNgaree。,,,,,
169,105,?ahusu,あふす,,,⓪,名,,,安富祖。«地»参照。,,,,,
170,105,?ahwa,あふぁ,,,⓪,名,,,安波。«地»参照。,,,,,
171,105,?ahwaca,あふぁちゃ,,,⓪,名,,,安波茶。«地»参照。,,,,,
172,105,?ahwagee=juN,あふぁげーゆん,あふぁげーいん,,⓪,"自=raN,=ti",,,?ahwageerijuNと同じ。,,,,,
173,105,?ahwageeri=juN,あふぁげーりゆん,あふぁげーりいん,,⓪,"自=raN,=ti",,,1.味が薄くなる。味が足りなくなる。,2.不まじめになる。ちゃかして馬鹿らしいことばかり言う。不まじめにおどける。?ariga ?juSee ?ahwageeriti ciciN naraN.あいつの言うことは馬鹿らしくて聞く気にならない。,,,,
174,105,?ahwageerimuN,あふぁげーりむん,,,⓪,名,,,不まじめな者。ちゃかしてばかりいる者。まじめに話をしない者。,,,,,
175,105,?ahwaguci,あふぁぐち,,,⓪,名,,,"薄味。また塩加減の少ない味。また,薄味を好む者。",,,,,
